prod_xprod,rotulo_cliente,rotulo_ia
AMOSTRA NATURAL AMAZONICO,64,8
AMOSTRA PETIT MAMANS,49,4
AMOSTRA SEM VALOR COMERCIAL LOTE,9,12
AMOSTRA XARAES,13,8
AMOSTRA ZURI,69,7
AMOSTRAS PREMIUM GRAO,19,7
AMOSTRAS SEM VALOR COMERCIAL,39,2
AMOSTRAS SEM VALOR COMERCIAL MI,42,4
AN BACO,55,8
AN COLOMBIA,63,12
AN DALLAS TRES LAGOAS TEI,20,12
AN MINI AMORA FLOCADA,49,2
AN RECALADA TRUMP RESOURCE TE AN,62,4
AN SS NIAGARA,49,2
AN VD LAP,58,12
AN ZI COLOR CORACAO MINI,63,8
ANA CRISTINA MICHELS BARBOSA,61,8
ANA CRISTINA MICHELS BARBOSA SIMON,61,8
ANA CRISTINA SOARES,19,4
ANA JULIA PEREIRA LIMA,49,2
ANAO,62,4
ANãO AMOQUE,90,8
ANAO BRONZEO,21,8
ANARQUIA MCA PREMIUM,12,4
ANASTACIA ROMA,42,8
ANCIãO DORSO PRATEADO,48,10
ANDERSON SIQUEIRA DA PAZ JACK,63,10
ANDROLOGICO BOVINO,19,11
ANDROMEDA,40,11
ANDROMEDA AZUL CLARO,33,8
ANDROMEDA AZUL ESCURO,21,10
ANDROMEDA AZUL MARINHO,21,3
ANDROMEDA BRANCO BRILHANTE,0,4
ANDROMEDA LIGHT BRANCO FOSCO,9,10
ANDROMEDA LILAS,31,10
ANDROMEDA PRETA,71,8
ANDROMEDA PRETO,71,9
ANDROMEDA VERDE ESCURO,71,2
ANDY DBZ JQD MOGBLACK,64,8
ANESEDCENINTEG,5,2
ANGELICA DV DOURADO,39,8
ANGELONA ESP,5,8
ANGUS,95,8
ANGUS YONG,5,7
ANIS SEXY,5,8
ANITA CARNA BLOCO TE ACEITA CR,30,4
ANIVERSARIO DE NOZES,30,4
ANJO OVO CIBER,62,4
ANO NOVO DANADO DE BOM GIRASSOL,30,12
ANTONIO VIEIRA,49,7
APE DA ROCHA ML ME,68,7
APETIFLORA CEREJA FARMA PREMIUN,61,8
APIS PORTUGUES ANO,62,2
APIS PORTUGUES ANO REFORMULADO,49,2
APLICACAO DE QUEIJO,30,7
APLIQUE CENOURA PEQUENA,5,2
APPROVE,49,4
APPROVE PCT PCT KGS,94,4
AQUAFRESH LIMAO,94,4
AQUILEIA NACIONAL,94,4
ARABE,94,4
ARABICUM ALI BABA,94,4
ARABICUM GREEN POD DYNAMO,94,4
ARABICUM MARIAAGATHA,94,4
ARABICUM RCN,94,4
ARABICUM RED BANGLE,94,4
ARANHA,94,4
ARCHEUS TARJA LARANJA,94,4
ARCO IRIS MELANCIA,33,9
ARGENTINA,33,4
ARGF OP,49,3
ARIZONA VERDE LIMAO,95,7
ARMADO,22,15
ARMAZ CEDINF RBG,1,8
ARMUS,21,8
ARNOEX TIPO SANZIBAR ROCK MD,49,4
ARRASTRE,33,4
ART COCO,95,7
ARTEN KGG IMP,38,7
ARVORE CHIA YING WU,38,8
ARVOREZINHA DE TONINHO,67,8
AS ERVAS DO SITIO,22,8
ASA,12,8
ASA CLIPSO,30,8
ASA COLORIDA,30,8
ASA DE PEGASUS,30,8
ASA DESLUMBRA,30,8
ASA LONGA,69,4
ASA LOOG,21,7
ASA NOTURNA RENASCIMENTO,61,3
ASA REX,17,2
ASA ROCHEDO,94,8
ASA WBDELTA,71,2
ASANEGRA ARMADO,61,8
ASAS COLOR,3,7
ASAS QUEBRADAS,38,8
ASSADO,44,8
ASSAI REFEITORIO,6,8
ASSISTENCIA PECA COSTELA,12,3
ASSISTENTES DE OBYRA APARADA DESESPERADA,95,12
AT BEGE PINTADO,49,7
AT DOURADO PRONTO PRA PINCELAR,95,2
AT ROSA PESSEGO,84,2
ATACAMA TAMARA,33,8
ATACAMAATACAMA JASPETAMARA,44,8
ATLANTYC CAFE,84,2
ATMOS INF CAFE,95,2
AUG PRATA PARTE IMPORTADA,95,2
AUTENTICOBR,49,2
AV,94,2
AV CAST MINI GOLD,71,2
AV CAST PEQ,0,2
AV CAST PRATO,42,2
AV PAULISTA,96,2
AVA GARDNER ROCK PAPAYA,76,2
AVACUO,62,2
AVANçO VACUO,90,2
AVARIA SEM ID,49,7
AYM WF LIMAO,49,2
AZ LAVADO UNIDADES,87,2
AZ MODELOS,87,2
AZAPATA,16,2
AZT,48,2
AZUL BANANA,94,2
AZUL BONAMIGO,49,2
AZUL HIBRIDO ATLANTICO,32,3
AZUL HIBRIDO ATLANTICO PED,32,3
AZUL NIAGARA,32,8
AZULBANANA,64,9
AZULZINHA,64,9
BA BT TRASEIRO,42,7
BABE PRETO,42,15
BABY MARGARIDA,42,3
BABY ROXO,42,12
BAC SOL,62,8
BACA VERDES,62,8
BACO,64,8
BACO AUXILIAR,62,2
BACULOMIPSF AGROBIOLOGICA PCT,33,8
BAG DE GREGO DE,42,8
BAGE BAHIA EMBALADA,42,8
BAMBA CORACAO,42,8
BAMBINO LARANJA,64,8
BAMBINO ROMA,63,2
BAN,42,12
BAN BCORSA,7,4
BAN DFM,48,8
BAN DIUP,90,7
BAN NZZ,84,10
BAN PROD DUL,64,8
BAN RX,9,12
BAN VVS,49,8
BANANA FISH,67,12
BANANA SEAHORSE,39,12
BAND AM,12,7
BAND VD,12,10
BANDEJA BERRY SECRET,62,7
BANDEJA DE TOLETE CRU,62,7
BANDEJA PEROLA,87,2
BANHA CELULAR,62,8
BAR WEB MELPEROLA,30,3
BARAO,0,7
BARAO KOBO TAMAMOKO,5,2
BARAO LOTE FAB VENC,87,2
BARAO ROXO,38,12
BARISTA COR,21,4
BARRIGA ,25,2
BARRIGA DO ENALDO,68,7
BARRIGA PQ TURMA DO CHAVES,64,2
BARRIGA TRANSPARENTE,64,8
BARU PUNHO DE KROSA,49,8
BASE CULINARIA TRIANGULO,48,8
BASE ENTRADA SALTADOR PECA,62,4
BASE NAMO STELLA INDUSTRIAL DOURADA,49,8
BASE PARA DESMOLDANTE,49,8
BASF,19,7
BASI BRANCO RESERVA,49,8
BASIC AMARELO MANTEIGA,62,8
BASIC NATURAL,49,8
BASICA ROSA SECO,96,8
BASILISCO DORSODEADAGA,48,7
BASIVA LARANJA,48,7
BASSI IROOT PRO,73,8
BASSI IROOT PRO CTEE,61,3
BASSI IROOT PRO CTEH,49,2
BASSI IROOT PRO CTF,64,8
BASSI IROOT PRO IRP,94,4
BASSI IROOT PRO RCTEE,42,15
BASSI IROOT PRO RCTEI,39,8
BASSI IROOT PRO RCTFJ,38,9
BASSI IROOT PRO SRCT IRP,90,2
BASTAO DE ERVAS NATURAIS,90,2
BATM BERRY ROSE,90,2
BAZAR DUCACIQUE,90,2
BBSAN AVELA BSAUZM,42,8
BCE MK NAO TRATADO,42,3
BD MC MILTA LARANJA,90,2
BD UN ML,64,7
BDJ ARIEL,90,2
BDJ BANDEJA PLATINUM,90,2
BDJ COMP LE STA FE LIMITADOR,90,2
BDJ ESP PEROLA SA,90,2
BDJ IX PW,90,2
BDJ NAO ULTILIZAR NAO ULTILIZAR RECLASSIFICAR UN,90,2
BDJ REDONDA,90,2
BE FOLHAS EX,90,2
BE LARANJA,90,2
BEAUTIFUL DAY LARANJA,33,10
BEBE CORACAO MILK,90,2
BEETHOVEM MAK BR MAK,90,2
BEGE CAQUI PALHA,39,8
BEIJO DA SERPENTE,1,2
BEIJO EDI,90,2
BEIJO GREGO,90,2
BEIRA RIO CAT ALCACHOFRA ZASBERILLA,90,2
BEIRA RIO CAT MEL SHEIK,90,2
BELO PULINHO PINTINHO ,90,2
BELSPAN COMPOSTO BELFAR,90,2
BELSPAN COMPOSTO GTS ML,90,2
BEM ME QUER,64,8
BEM ME QUER CC,33,8
BEM ME QUER KISS,39,12
BEM ME QUEROPO BANANA,61,4
BERRY,87,10
BERRY FIELDS,61,7
BERTA ISLA,61,7
BETINHO DRIFT MS,48,2
BF ISLA,10,7
BF ISLA VERMELHO UN,94,8
BG NACIONAL,49,7
BGE FLOR DO CAMPO,69,15
BGF,33,8
BGF BRANCO,44,8
BGF LARANJA,95,2
BGF OLIVA,61,7
BGF PRETO,64,9
BGF ROXO,72,8
BHORIZONTE HORIZONTE AURORA,5,4
BIANCA PORTUGUES BOM ESTADO,95,4
BIBI BRANCOIOGURTE,5,4
BIBI MULTICOLORIOGURTE,33,4
BIBI PRETOIOGURTE,5,8
BICHO DE PE MOLE,49,1
BICOLOR HIDROP,30,4
BILIS,30,4
BIO GORDURA SUBMENTONIA,30,4
BIOCONFORT VACUO,30,4
BIOFOLL,33,15
BIOHOP TETRA LOTE AM,64,15
BIOINTESTIL GENGIBRE ZINGIBER OFFICINALIS ASSOC,33,8
BIOKATO,49,12
BIOMEVE PO,65,7
BIONITROPHOS,42,12
BIOSPEED BIB,42,12
BIOVELOX BIB,42,12
BIOXAN COMPOSTO ML FR,42,12
BIOXAN COMPOSTO VALLEE,42,7
BIOXAN COMPOSTO VALLEE ML,42,2
BIRI VERMELHO,42,2
BIRRO CAJU,42,7
BISNAGA REQ TRAD EXP,42,8
BISNAGA REQ TRAD PRATIC,71,11
BITRIN,95,4
BL CARME,64,4
BL ISLA,64,4
BL MARIS BRANCA BRANCA BRANCA,84,15
BL ML FLORES VERMELHAS FOLHAS CLUB COLOURS,64,4
BLA LARANJA,62,2
BLA LAT INT,19,2
BLACKGOLD,13,12
BLC GOLDEN TANG,7,2
BLC GOLDENZELLE TAIDA NBS,5,2
BLC HAW YUAN GOLD,33,15
BLD CRUZ LEAO PRET,31,12
BLEACH REMIX,13,3
BLEND,9,7
BLEND BLACK,9,7
BLEND BLACK GISELE PATHEPH ET ZETEX,38,8
BLEND CZ,30,7
BLEND NACIONAL HERBAL BOSQUE VERMELHO,31,12
BLEU,30,7
BLEU PR,30,7
BLG,30,4
BLIP PIP,30,15
BLISLA,30,4
BLITZ PCT,30,4
BLITZ PCTE GRS,30,4
BLU MAFRA LARANJA,6,4
BLU ML VERM ND,17,8
BLUA LUIZA PETIT AZUL MARINHO,39,4
BLUDELLE,39,4
BLUE LIFE BRANCO TRIBUTOS APROX ,38,8
BLUE PCT,62,12
BLUE PNR,62,2
BLUE SKY INTENSE,63,12
BLUGRIP PELARGONIUM GTS SN,62,12
BLUIPANEMA,39,4
BLUMELISSA,6,12
BM BU AMARELO LIMAO,6,2
BNS,49,8
BNS ZGR,61,12
BNS ZGSTL,6,15
BNS ZSTR,6,15
BO DE MILHO METHAL,34,2
BOA SEMENTE CAPA ESTRELA DO MAR,62,2
BOCA DO DIABO,15,4
BOCA MILHO REX,9,8
BOCA MILHO ST,33,4
BODOQUENA FUND,33,4
BOI FLORES,42,8
BOIADEIRO ERVAS MIX,31,2
BOLINHA PESCOCO,49,10
BONAMIGO AGRIBAN,38,12
BONAMIGO SUPERBONA RAMAGUS,62,8
BONAMIGO SUPERNOVA AGROPAN,63,4
BONAMIGO ZURI LT,61,7
BONUS QUALIDADE MES DE ABRIL,61,4
BONUS QUALIDADE MES DE AGOSTO,62,7
BONUS QUALIDADE MES DE JUNHO,61,4
BOPRIVA DS,84,12
BOPRIVA FR DS,30,3
BORBOLETAS NA MANGA ROSA,33,3
BORBOLETAS NA MANGA ROSA JASMIN,30,15
BORE GGRB,32,8
BORE STE,85,10
BORES MANGA,85,10
BOSCH IMP ULSOR OV,85,10
BOSCH SE IMP ULSOR OV,84,10
BOV,12,7
BOV CSF BEG,61,12
BOVINA,48,10
BOVISAR YD,48,10
BOX GIGANTE VARIADAS SB,39,12
BR ALINE CARRE PRETO,61,8
BR ASA,62,7
BR ASA MICROCRAVEJ,61,10
BR ASA ORGANICO,84,8
BR BOUGANVILLE,84,8
BR CABACINHA,84,8
BR CARMELITA,84,8
BR CARRE ROSE PEROLA,84,8
BR CARRE RUBI,84,8
BR CORACAO,30,10
BR CORACAO COLOR,38,2
BR CORACAO FUSION ORIGINAL,71,2
BR CORACAO LADINHO,38,12
BR CORACAO MON,38,12
BR DR OPALINA,64,2
BR DR PP,49,12
BR FOLHAS FLORES FOSCAS,62,2
BR HEA CORCOVADO,2,3
BR JADE LARANJA,83,7
BR KGS,2,3
BR MORANG BABY BPEP,83,2
BR PESSEGO PEROLA,61,8
BR PRATA ABACAXI,71,8
BR RED PEROLA,71,2
BR RES FLOR,71,2
BR ROMA,71,2
BR ROSA KIDS,30,10
BR ZI PONDARO CORACAO,71,2
BRACAL TRAD PA RUSEILTON,71,2
BRANCA CRM VEG DE CHILE,61,4
BRANCO,71,2
BRANCO PARIS PREMIUM,71,4
BRANCO PITAIA,71,15
BRANCO RESERVA,84,11
BRANCOS CAFE,71,2
BRANCOVERDE,69,8
BRAS BIOXAN COMPOSTO ML,71,2
BRASIL COCO OCEANO MINI,71,2
BRASIL COCO OCEANO MINI BRILLIANT,71,2
BRASIL PEQUENO TIPOBRASIL SELECAO,71,2
BRASILEIRINHO SAO JOSE,71,15
BRASILIENSE,71,15
BRASKIT HORTI FRUTI FRUTAS MULTICOR,71,12
BRASP,71,15
BREDA REF,90,8
BREV,90,10
BRIGITTE BARDOT ROCK PASSIFLORAAMORATAMARINDOCOBALTO,71,8
BRINDE SEM VALOR COMERCIAL,71,7
BRINDES OPE LOG EXIB TORRE LINHA JARDIM,71,8
BRIQFENO,39,4
BRIQFENO BAG,71,8
BRIQFENO SACO,71,2
BRM RECORTE,44,3
BRM RECORTE MONTEREY,64,7
BROADSIDE NINHO FORTI MAIS,71,2
BROMYL,71,7
BRONCOS CAFE,71,2
BRS,32,4
BRS EST MTS,32,7
BRS FUSION CARRE,42,7
BRS KURUMI,68,8
BRS STR,64,9
BRSUI FORZA AC,64,9
BRUNO JOAO,90,2
BRUTALE ROMA,64,9
BRUTUCU TRASEIRO,64,9
BRUXINHA,30,15
BRZI FLOR CHEINHA,58,7
BS BS ISLA,69,8
BS ISLA,69,8
BSROSA CLARA,84,4
BTC LIMA,95,8
BTSE MANGA LE,62,8
BUBALLO,17,10
BUBB UVAMORBANHORTFRUTTI,64,12
BUBBLY ROSA CM,42,12
BUCHADO LEQUE TRASEIRO,94,12
BUCK ODDA LARANJA,12,10
BUIQUE TULIPA,12,10
BUMPING BREVANT,23,10
BUMPING NK NIDERA,12,10
BURANO BRANCO GOLD VIETNAMITA,12,10
BUSCOVERAN COMPOSTO GTS,40,4
BUZZ GS PAPAYAWHITE [,38,8
BUZZ GS PAPAYAWHITE [],64,9
BV DAMA FARROUPILHA,39,12
BV DAMASCO LUXURIA,39,12
BV DOMINGOU BLACK,39,12
BV FRONTEIRA DO SUL,23,2
BV NOB FORZA,95,8
BV PECA UNICA,84,2
BV PPA,12,4
BV RARIDADE,95,7
BV RIQUEZAS,46,12
BV ROXO,71,8
BV SOROCABANA PREMIUM,71,12
BX VERMELHO CEREJA,42,4
CA CAIXA UNIDADES ML,61,8
CA SEM GTIN,39,12
CABB ROSA,42,8
CABOCLO SULTAO DA MATA,49,2
CABREUVA SICILIA,42,4
CACGEPOT MARGARIDA,63,8
CACMIA DE QUEBRADA,63,15
CADA UM BRILHA DE UMA FORMA VERDE JADE,63,8
CAFE,49,8
CAFE AMAZONAS PAUTADO,63,8
CAFE DA TARDE ,39,2
CAFE NO JARDIM MASTER,84,15
CAFE NO JARDIM ULTRA,71,7
CAFE PROGRAMACAO,61,4
CAFE SAECO,62,2
CAFE TUPPERWARE,62,7
CAFEF PINHAO,84,7
CAFEROSA BC,62,8
CAFETRANCA,62,4
CAFEVERMELHO,64,9
CAGENDA COST,62,8
CAICA,69,8
CAIPIRA,63,2
CAIPIRA DE LIMOES PREMIUM,94,4
CAIPIRA LÍVIA,94,2
CAIPIRA MARGARETE AMARELA ADL,95,12
CAIPIRA NEGRO,0,7
CAIPIRA NEGRO POR CAIXA,71,7
CAIPIRA TROPICAL FOZ PLAZA,71,7
CAIXA ABACAXI,94,8
CAIXA ABACAXI SUIÇO,71,15
CAIXA COM UNIDADES TOLEDO DE MINAS,87,2
CAIXA DE SEMENTE FINA SIG UNICA,68,9
CAIXA ENV LOTE,39,4
CAIXA FEIJAO MAGICO,69,8
CAIXA FRUTA,69,12
CAIXA HARIZ IMPORT EXPORT,62,8
CAIXA HFG LARANJA,61,15
CAIXA MENTA BOLDO,48,9
CAIXA MORANGUINHO,16,9
CAIXA NOZ AF,48,9
CAIXA PETIT,49,9
CAIXA PETIT CAIXA PETIT,49,9
CAIXA PISTACHE,49,9
CAIXA PRESENTE BLUEBERRY,21,9
CAIXA PRIMEIRA COMPRA BRINDE,39,9
CAIXA SEMENTE FINA,64,9
CAIXA SEMENTE FINA UNICA,64,9
CAIXA STE,22,7
CAIXA UVA,61,2
CAIXETAS VERMELHA UNIDADES,62,12
CAIXINHA DIVERSA TIPO,1,7
CAIXINHA SOBR BR TRAD,1,7
CAL CURO CENOURA PRETO,22,15
CAL MEL ROSADO COT LAR,61,4
CALCACOM RECORTE,21,8
CALICO JOE,21,8
CALISSIA,21,8
CALUNGA CASCA,19,4
CAM,12,10
CAM BELL,62,3
CAM BRASIL,44,8
CAM BRILHO,40,3
CAM BRP,17,7
CAM CAMB LIN LONG,48,8
CAM COOLC AQUATICA SAL,62,3
CAM CREATE,40,3
CAM DEBLUN MANGA,42,7
CAM ELEVATED,40,3
CAM ELF MC,61,3
CAM ELF ML,62,3
CAM ESPECIAL OKOYE,39,4
CAM EXTRA,40,3
CAM FEDBELL,62,3
CAM GRANDE SEARA MESC,62,7
CAM GRIFFO,40,3
CAM GULT IMPORTADO VBK VMT,61,3
CAM IMPORTADA,48,4
CAM IMPORTADA GRKR,40,3
CAM IMPORTADA KR,40,3
CAM IMPORTADA MG,61,3
CAM IMPORTADA MG FORT,40,3
CAM IMPORTADA MJ,61,3
CAM IMPORTADA MJ MN,62,3
CAM IMPORTADA TR MG FORT,62,3
CAM LEMON MC,44,8
CAM LIFE,40,3
CAM LONG LEAT BLACK,62,3
CAM LVS BATWING,62,3
CAM MARO ML MET,62,3
CAM MAXIMUM,40,3
CAM MC,21,8
CAM ML,61,3
CAM ML ESPECIAL COM VIVINHO,61,3
CAM ML GOTAS AZUL NOTURNO,12,8
CAM ML MAR,61,3
CAM ML RAMOS,61,2
CAM MM,61,3
CAM MM BR,61,3
CAM OX BRANCA TERRA VERMELHA,40,3
CAM OX BRANCO,40,3
CAM OX ROSA,61,3
CAM PACK ML,48,8
CAM PLL,40,3
CAM PR,40,3
CAM PREMIUN,61,3
CAM PRYN,48,4
CAM ROSE,61,3
CAM SABIA ML,61,3
CAM SOB VIR,61,3
CAM SORTIDA ML,61,3
CAM SPIRIT,84,12
CAM SUNSET,61,3
CAM TORTUGA,84,12
CAM UNI AZFR FRES VOU TER QUE ME VIRA,61,3
CAM UNI AZMR CRGM FRAMES,60,3
CAM UNIMC BRVIN HORA BMO,60,3
CAM VERDE FOLHA PRETA BRANCO LEVADOS,61,3
CAM WALT,61,3
CAMILA VERDE HORTELA,61,3
CAMINHO LINHA FILE,61,3
CAMPANARIO TERETE BLUE,61,3
CAMPANULA,61,3
CAMPANULA GCER,62,3
CAMPEãO MUNDIAL DE PESO CENOURA,62,3
CAMTRAIRAVERMELHO,62,3
CAMUFLADAS ARMY,61,3
CAMUFLAGEM MINI NOIX,61,3
CANASTRA ROSA GOLD,61,3
CANCH GRANEL,84,15
CANCOAT,44,4
CANELADA MANGA,61,3
CANELADAS MANGA,62,3
CANEQUINHA TAMARA,61,3
CANTUS FR GRS ORIGEM,62,3
CANUDAO DELICIA,62,3
CAP,49,2
CAPILAR DOBRADO CONJ,85,3
CAPODARTE CREMAPECANPECANPECAN CIOCCOLATOSOFT FI,61,3
CAPODARTE CRUPECANPECANPECAN LINHO LISTRADOSF FI,61,3
CAPODARTE PECANOUROPECANPECAN JACQUARD LUREX RUST,61,3
CAPRICCIO LOTE EAN,61,3
CAPRICORNIO ROXA,61,3
CAPS AZBC,64,3
CAPS CARRS,62,3
CAPS LARANJABRANCA,64,3
CAPS VARIADOS,61,3
CAPSULA BARBA ROBUSTA,61,7
CAPSULA DE ELTRETO,61,7
CAPSULA GRANEL,61,3
CAPSULA GRANEL CONFORTO,61,3
CAPSULA GRANEL ESQUENTA,61,7
CAPSULA MACRO,6,8
CAPSULA MAMACADELA,85,8
CAPSULA NATURAL EM PO,95,7
CAPSULAS DIVERSAS,94,4
CAPSULAS ESCBCOA,62,8
CAPSULAS FENO GREGO ,90,15
CAPSULAS INCINCC,33,2
CAPSULAS NATURAIS TOP GOLD BLACK,61,8
CAPSULAS RELICARIO,61,8
CAQUI CAQUI CAQUI,64,9
CAR DISPL PREMI,69,8
CAR INT,62,2
CARA,38,7
CARA BDJ EMB HORTIFRUTI UN,49,4
CARACOL DIANTEIRO,64,8
CARAIBA COLIN FLAVIO,64,8
CARANGUEJO AMIGO SOLIDARIO,9,15
CARBO LIMAO,3,7
CARCA FROTAL,39,9
CARCA LA,96,9
CARCA LB,96,9
CARCACA,15,9
CARCAÇA CVCCPCPCCCG,21,9
CARCACA NA,15,9
CARCACA NB,15,9
CARCACA PRO,85,7
CARD,21,3
CARDIO MEU PAU BRANCO,15,9
CAREN ACEN,15,9
CARIJO,21,9
CARIJO MISTO,96,9
CARIJO MISTO TRIBUTOS FONTE IBPT,96,12
CARLA CAFE,96,9
CARLOTA DOURADA LIGHT,48,7
CARM,7,8
CARNE DE PAGAMENTO,0,8
CARNE PEDRA,0,15
CARO SHOLDER,84,2
CAROBA VERMELHA,49,3
CAROL FLOR DE PITAYA,49,3
CAROL VARD,82,2
CARRE,22,8
CARRE PRETO,62,8
CARREGA DOR ORIGIN AL PL,87,8
CARTAO GRAOS SELECIONADOS,84,8
CARTELA,87,2
CARTELA LARANJA,85,2
CARTELA SALMAO,40,2
CAS PONTO ARROZ,39,2
CASA DO LULA MOLUSCO,61,12
CASA DO POLVO,20,2
CASA FLOR NATURE,16,2
CASAC,1,4
CASAC EAG,23,4
CASACECOAR,1,4
CASADINHA MARGARIDA,1,4
CASCA,64,9
CASCA DE PAU TENENTE,90,8
CASCA FINA APROX,64,3
CASCA FOLHAS,90,8
CASCA GIGANTE,62,8
CASCA GRS,62,4
CASCA KILOS,90,8
CASCA OPO OBO,6,2
CASCA PARA COBERTURA,61,4
CASCA PRETO,61,7
CASCA UNIDADE,1,12
CASCAS FOLHAS BS BM [],85,2
CASCOVITAN,85,7
CASOLAO EXTRA,48,12
CAST,64,8
CAST BASREGATACOLOR AMARELO,49,4
CAST CS GO OV OO,39,3
CAST DIAS,48,3
CASTANHA CHEVROLET,61,8
CASTANHA FLEX,61,8
CASTANHA FLEX ALPLAST,61,8
CASTANHA REFORCADA AMARELA,71,12
CASTANHA TRANBULADOR,21,8
CASTCPORTSPT,67,7
CAT SEM GTIN,95,8
CATAR,67,7
CATIVEIRO NUCA MAIS,53,7
CAXI ACOND,67,8
CB,44,7
CB AC KRE ST MX DR,39,8
CB AC KRE ST OR DR,6,7
