prod_xprod,rotulo_cliente,rotulo_ia,capitulo_correto,explicacao
EMBALAGEM ARROZ GUACIRA 1KG T1 PARBOILIZADO,10,10.0,10,IA | CLIENTE: Arroz é cereal.
DESCARTE DE CASCA DE ARROZ,10,10.0,10,IA: Descarte de casca é subproduto do cereal
ESCORRED ARROZ INX 14865 YAZI,10,73.0,73,IA: Produto de metal.
FLOR DE TRIGO,10,10.0,10,IA | Flor de trigo é um cereal.
PAPEL ARROZ CARROS,10,19.0,48,IA: Papel arroz é produto de papel
BALD MADU PIPOCA VERDE B 01UN,10,20.0,10,CLIENTE: Produto derivado de cereal.
REPLICA MILHO 3M,10,39.0,39.0,IA: Replica indica produto de plástico.
LOTE CORSINI - FAZENDA SILVA W2 - PCT 250G - GRAOS,10,9.0,10,CLIENTE: Produto é grão.
VAXXON SHS L 2000 DS,10,0.0,10,CLIENTE: Produto se encaixa na descrição de cereais.
ALMOFADA POPCORN PIPOCA,10,94.0,94.0,IA: Produto de lazer/decoração
SACO DE MILHO 40 KG,10,10.0,10,IA | CLIENTE: Milho é cereal.
FAZENDA SITIO SOALHEIRO - ED. OUTUBRO/2022 QUANTIDADE:250G;GRAO OU MOIDO?:GRAO,10,9.0,10,CLIENTE: Produto é grão.
MACO ROBUSTO GRAND AMAZONIA,10,,10,CLIENTE: Produto se encaixa na descrição do capítulo.
JACARANDA MIMOSO,11,44.0,11,CLIENTE: JACARANDA MIMOSO indica produto alimentício
DESCON C12 COMP,11,,11,IA: DESCON C12 COMP indica produto do capítulo 11
LAMINA AVEIA FIBRA GERMEN FARINHAS OC: MT84119110843,11,11.0,11,IA: Produto derivado da moagem de grãos.
2KG FARINHA DE AMENDOA + 1KG XILITOL,11,29.0,29.0,IA: Farinha de amêndoa e xilitol são produtos químicos.
PANTANAL 500G,11,11.0,11,IA: Produto típico do capítulo 11
DESINFESTADOR PARA FARINHA TP MOD DFI,11,84.0,11,CLIENTE: Desinfestante para farinha
MIST LAV MC PURE RB8906 BA DOURADO/BRANCO= RUBINETTOS(M0STRUARIO) RUBINETTOS,11,84.0,84,IA: Rubinettos são artigos sanitários.
"PRODUTOS NAO LISTADOS - PELICULA, SABUGO E QUIRERA DE MILHO",11,11.0,11,"IA: Produto derivado do milho, dentro do capítulo 11"
FARINHA DE SANGUE - 831.0000,11,23.0,11,CLIENTE: Farinha é produto da moagem.
BOB PLAST FARINHA DE MILHO DONANA 500G,11,11.0,11,IA: Farinha de milho é produto do capítulo 11
PE MLQ YOKI 306 G,11,11.0,11,IA: Produto similar a malte ou fécula.
FIBRA DE TRIGO K LIFE 250G,11,11.0,11,IA: Fibra de trigo se enquadra em produtos da moagem
CANOINHA T9430-259 / NAPA SINGAPURA AVEIA / NAPA SINGAPURA AVEIA / NAPA SINGAPURA AVEIA / _ LIGHT PEACH / _ OURO / FORRO,11,64.0,64,IA: Canoinha indica produto têxtil
FARINHA DE AMORA KG 1178 FAZENDA SAO FRANCISCO KG,11,11.0,11,IA: Farinha é produto da indústria de moagem
FIBRA TRIGO KININO 250G KININO UN,11,11.0,11,IA: Fibra de trigo se enquadra em produtos da moagem
POLVILHO AZEDO AMAFIL 500G,11,11.0,11,IA: Polvilho é derivado do amido.
FIBRA DE TRIGO ZAELI 10X300 FD,11,11.0,11,IA: Fibra de trigo se enquadra no capítulo 11
WAXY MAIZE - PACOTE 1KG - GROWTH SUPPLEMENTS SABOR:NATURAL,11,11.0,11,IA: Produto derivado do milho (amido)
SACOS DE PAPEL KRAFT FECULA DE MANDIOCA ARGO FOODS SC 25 KG,11,48.0,48,IA: Sacos de papel são embalagens
VIDROLUX BB5 LTS GIRASSOL,12,12.0,12,CLIENTE: Produto se encaixa na descrição do capítulo
"CATUABA PRETA APARELHADA ATE 1,90 MTS P/ PALETES",12,44.0,44,IA: Madeira serrada para uso em paletes
ESS MORANGO 057 50ML,12,33.0,12,CLIENTE: Produto classificado como fruta
ENTRADA DE CANA DIA 06 07 2024,12,12.0,12,IA: Entrada de cana é um produto agrícola
TOCA CASA HAMISTER ANAO RUSSO ROEDORES PEQUENO PORTE,12,39.0,43,IA | Brinquedo para roedores
BALILA / BALILA / LINHACA - 26,12,12.0,12,IA |  Produto classificado como semente.
CAPIM COM SEMENTE - UN 1,12,12.0,12,IA: Capim com semente se enquadra em forragens
FOX / 7152360/ QAM 1252 / 9BWAB45Z2K4009460/ CAMPO GRANDE,12,,12,CLIENTE: Descrição indica produto agrícola
IPE ROSA,12,44.0,12,CLIENTE: IPE é um produto vegetal
"CYTOBIOL IRIS A 2 (0,100)",12,30.0,30,IA: Produto farmaceutico
PHILLIPS TABS HORT C12,12,30.0,30,IA: Produto químico agrícola
OSCILLOC 200K C6,12,30.0,90,IA: Equipamento de medida e controle
MARCA PAGINAS E LAPIS COM SEMENTE DE COENTRO QUEM SEMEIA AMOR LARANJA - CARTOES GIGANTES,12,49.0,49,IA: Produto contém sementes.
AMERICANO ESPECIAL INDIANO,12,12.0,12,IA: Americano especial indiano é um fruto
JALAPA RAIZ,12,12.0,12,IA: Raiz de jalapeno é classificada como planta medicinal
MUTAMBA COM CABO (CRASPEDIA),12,6.0,12,CLIENTE: Mutumba é fruto.
COZINHADOR DE GRAOS 4 ESTAGIOS 50 TONS HORA MARCA TECNAL,12,84.0,84,IA: Equipamento para processamento de grãos
KIT 20700 NORI P,12,0.0,12,CLIENTE: KIT indica produto alimentício
XXXXPROEQUI ORIGINAL 40KG,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
ENTRADA DE CANA 060922,12,84.0,12,CLIENTE: Entrada de cana se encaixa em grãos
SALT GROSSO MOSTARDA EM GRAOS E ALECRIM GOURMET 500 G,12,12.0,12,IA: Classificação condimentada
CAIXA SEMENTE 6Z DUPLA SFIL SOJA,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
MICROLOTE POMAR DA SERRA (EDICAO FRUTADO) - EM GRAOS - 1KG,12,9.0,12,IA: Produto em grãos
ENTRADA DE CANA DIA 07 06 2023,12,12.0,12,IA: Entrada de cana se encaixa em produtos agrícolas
ALFAFA - EXTRATO 60ML,12,13.0,12,CLIENTE: Alfafa é planta medicinal
SALT GROSSO MOSTARDA EM GRAOS E ALECRIM GOURMET 500 G,12,12.0,12,IA: Classificação condimentada
INOCULANTE SOJA TURFOSO NITROBACTER TF,12,38.0,38.0,IA: Inoculante é produto químico
"IPE ROXO 2,00 MTS",12,44.0,44.0,IA: IPE é um produto têxtil.
POLACIL 100 FOLHAS,12,48.0,48,IA: Produto similar a papel
TOCA NATURAL PORQUINHO DA INDIA GOLDEN P,12,39.0,12,CLIENTE: Produto se encaixa na descrição do capítulo 12
TENENTE MADRUGUEIRO OE - 44,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
RAS AV SHOES TD JE2244. AMEND,12,64.0,64,IA: Produto calçado
"AKYNZEO C/1 COMP - VLR ICMS DESON: R$ 15,10 VLR DO PROD SEM O ICMS: R$ 362,34",12,30.0,30,IA: Medicamento
OUTROS PRODUTOS DA AGRICULTURA - CANA FORRAGEIRA - OUTRAS PR,12,12.0,12,IA: Cana-de-açúcar é classificada como planta industrial
SALSAPARRILHA RAIZ,12,12.0,12,IA: Raiz de salsaparrilha é planta medicinal
ROTULO OREGANO 25G,12,48.0,12,CLIENTE: Oregano é planta medicinal
PINGENTE PRATA PIMENTA CRUZ OLHO GREGO,12,71.0,71,IA: Pingente de prata é joalheria.
FILODENDRO MICANS,12,6.0,06,IA: Filodendros são plantas
"LATA GRAOS SEIJI 2,3 L CAS HOME STYLE:VERDE",12,73.0,12,CLIENTE: Produto é grão
1117 - IPê - BALIZADOR QUARTZO,12,94.0,94.0,IA: Balizador é artigo de construção
ENTRADA DE CANA 180921,12,84.0,12,CLIENTE: Entrada de cana se encaixa em grãos
CAMOMILA FLOR 1KG,12,12.0,12,IA: Camomila flor classificada como planta medicinal
(9788539422708)50 BRINCADEIRAS VERMELHA (EDI GIRAS),12,49.0,95,IA | Brinquedos classificados no Capítulo 95
PCT BRUX MISTO U,12,12.0,12,IA: PCT BRUX MISTO U se encaixa em Sementes e frutos
TRANSBORDO CANA VTX21000 TMA,12,87.0,87,IA: Transbordo indica máquina
PAPA RATO GIRASSOL S/CASCA UND **,12,12.0,12,IA: Produto classificado como semente.
ENTRADA DE CANA 040622,12,12.0,12,IA: Entrada de cana se encaixa em produtos agrícolas
UNHA 416-B/D,12,82.0,82.0,IA: Produto se encaixa na descrição do capítulo 82
"10 GINSENG $10,00",12,12.0,12,IA: Ginseng é planta medicinal
S.MIL.2M91PRO3 TC LOTE 20140197 PEN 20RC BOL.ANAL.212 VAL.10/21 PUR. 100.0 GERM. 98 TERMO DE CONF. 212/20/GO CAT.S1,12,12.0,12,IA | Produto se encaixa na descrição do capítulo 12
OUTROS PRODUTOS DA AGRICULTURA - CANA FORRAGEIRA - OUTRAS PR,12,12.0,12,IA: Cana-de-açúcar é classificada como planta industrial
FORMULA C/CACTIN 2G,12,21.0,21.0,IA: Formula indica produto farmacêutico
ACUCAR BRUTO DE CANA VHP (SACO 50KG),12,17.0,17.0,IA: Açúcar bruto é classificado no capítulo 17
CAIXA DE SEMENTE - 7038102M1-VT,12,84.0,12,CLIENTE: Produto relacionado a agricultura.
BOI TF - 315.500,12,1.0,12,CLIENTE: Descrição indica produto agrícola
NITROSPHERA SOJA TURFA COM 600 G 10 DS,12,38.0,38,IA: Produto fertilizante
FENO GREGO EXTRATO SECO,12,13.0,12,CLIENTE: Feno grego é um fruto
LOGIN /PCT PCT 1KG,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
DENTE PREMIUM M A1,12,90.0,90,IA: Produto odontológico
BOX - HENNA DE SOBRANCELHA C/12 PECAS - MAKIAJ - CASTANHO CLARO,12,33.0,33,IA: Produto cosmético
VASO KIT XAXIN PALMEIRA PQ FELTRIN UN,12,69.0,69,IA: Produto de cerâmica
- ALPHACAINE CV C/50 TUBETE,12,30.0,30,IA: Medicamento veterinário
"SPIRULINA PO (MIN 60% PROTEINA) - 1,000 KG -LOTE: 2308032602 -FABRIC.:03/05/23 -VALID.:02/05/25",12,12.0,12,IA: Spirulina é planta medicinal
ENTRADA DE CANA 040922,12,84.0,12,CLIENTE: Entrada de cana se encaixa em produtos agrícolas
ENTRADA DE CANA 300621,12,84.0,12,CLIENTE: Entrada de cana se encaixa em grãos
"SUBSTRATO CAROLINA SOIL PADRãO 75H DE 45 LITROS  GERMINAçãO DE SEMENTES, ROSA DO DESERTO, SUCULENTAS, MORANGOS, HORTA",12,27.0,28,IA | Substrato é composto orgânico
ENTRADA DE CANA 280522,12,84.0,12,CLIENTE: Entrada de cana se encaixa em produtos agrícolas
EQUIPAMENTO INDUSTRIAL FRIGORIFICO PARA CLIMATIZACAO DE SEMENTES,12,84.0,84,IA: Equipamento industrial para climatização
"PRODUTOS NAO LISTADOS - ESOALHADOR DE SEMENTES STARA, MODELO",12,84.0,84,IA: Máquina agrícola
INOC NITROSPHERA SOJA TURFA CX 20X600G,12,38.0,38.0,IA: Produto fertilizante
TAGETES 2,12,12.0,12,IA: Tagetes é planta medicinal
COROA DA SEMENTE C/ TITANIUM,12,90.0,90,IA: Parte de ferramenta agrícola
PLACA PARA SEMENTES MULTI COM DUAS FACES COMPLEMENTAR,12,84.0,84,IA: Placa para semeadura é ferramenta agrícola.
"SANSAO - JL, 2023 - MARIA IVONE MOREIRA BRAGA (OLE RENDEIRAS)",12,49.0,12,CLIENTE: Produto se encaixa na descrição do capítulo 12
EUCALIPTO HS 1X200,12,44.0,12,CLIENTE: Eucalipto é planta industrial.
EXTRATO FLUIDO QUEBRA PEDRA 30ML,12,30.0,38,IA: Produto químico para quebra de pedra
QUEBRA PEDRA 100GR (ERVA SECA PARA CHA),12,12.0,12,IA: Erva seca para chá se enquadra em plantas medicinais
CALOTRAT PLANTAR 20G,12,30.0,30,IA: Produto de uso médico
INOCULANTE NITROSPHERA SOJA LIQ 2X6 LT 100 DS,12,38.0,38.0,IA: Inoculante é produto químico
KIT KROON KROON 400,12,12.0,12,IA: KIT KROON KROON 400 sugere produto agrícola
STOPPER ADES APROVEITE O MELHOR D SEMENTES C PRECI,12,49.0,12,CLIENTE: Produto relacionado a sementes.
CAIXA LONGITUDINAL DE SEMENTES,12,73.0,12,CLIENTE: Produto relacionado a semeadura.
ADESIVO-PARA-PLACA-B5750E-BREVANT-SEMENTES,12,35.0,35.0,IA: Adesivo é classificado em produtos químicos
AT580 - IPE ROXO,12,44.0,12,CLIENTE: Produto se encaixa na descrição do capítulo 12
IPE ROXO + GRAVIOLA (EXTRATO FLUIDO) - 30ML (REF. 110203978),12,12.0,12,IA: Extracto fluido de fruta
BRACELETE SHINE SEMENTES DA VIDA CLEAR ONE SIZE,12,71.0,71,IA: Bracelete é joia
"TEMPEROS ATE 130G E ESPECIARIAS NO POTE CONDIMENTOS GRAOS GOURMET DRY RUB, CALDO, PREMIUM NATURAL BICARBONATO DE SODI",12,21.0,21.0,IA: Temperos e condimentos
EXTRATOR REMOVEDOR DE SEMENTES CAROCO DE AZEITONAS DESCAROCADOR MANUAL,12,82.0,82.0,IA: Equipamento para processamento de alimentos
TRIBULUS TERRESTRIS PO,12,12.0,12,IA: TRIBULUS TERRESTRIS é planta medicinal
PALHA CRUA 50G,12,12.0,12,IA: Palha é classificada no capítulo 12.
BARRIL TOMBO DO GORDO - IPA INDIAN PALE 50 LT NAVIRAI,12,22.0,22.0,IA: Cerveja é classificada no capítulo 22
CALOTRAT PLANTAR 20G,12,30.0,30,IA: Produto de uso médico
ENTRADA DE CANA 110822,12,10.0,12,IA: Entrada de cana é um produto vegetal
CALOTRAT PLANTAR 20G,12,30.0,30,IA: Produto de uso médico
DISTRIBUIDOR DE SEMENTES PENDULAR LANCER PPO 900 MARCA: JAN ANO: 2024 SERIE: PPO00298600A00,12,84.0,84,IA: Distribuidor é máquina agrícola
EXTRATO COMPOSTO HIPERICO / MULUNGU - 60ML,12,13.0,12,CLIENTE: Produto à base de plantas medicinais.
MAQUINA INDUSTRIAL DE TRATAMENTO E REVESTIMENTO DE SEMENTES,12,84.0,84,IA: Máquina industrial de tratamento
MELACOS DE CANA,12,17.0,17.0,IA: Melados são produtos da indústria açucareira.
CAIXA LONGITUDINAL DE SEMENTES ANO: 2021CHASSI: CLSV111121080645,12,84.0,84,IA: Caixa é equipamento agrícola
2023 PATY PREMIUM ROSA 1 AO 4 - 1,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
(10994001) INOCULADOR SEMENTE MS TURBINE GRAN-PED ANEX:16797,12,38.0,84,IA | Inoculador é máquina agrícola
PP HC FOLHAS E FLORES REF. 6906,12,48.0,48,IA: Produto de papel
PRODUTOS NAO LISTADOS - AMOSTRA DE SOJA - OUTROS,12,12.0,12,IA: Amostra de soja se enquadra em Sementes e frutos oleaginosos
SACARIA PAPELAO SEMENTE INTEGRACAO 10KG/12KG,12,48.0,12,CLIENTE: Produto se encaixa na descrição do capítulo 12
IPE ROXO,12,44.0,12,CLIENTE: IPE ROXO se enquadra em Sementes
0111 22 ARABICUM GREEN POD X DYNAMO,12,12.0,12,IA | Produto é semente de planta
"20 LITROS SUBSTRATO CAROLINA SOIL  GERMINAçãO DE SEMENTES, ROSA DO DESERTO-35H COM CASCA DE ARROZ",12,38.0,38,IA: Substrato é classificado como produto químico
PÃO AUSTRALIANO 20G,12,19.0,19.0,IA: Produto de panificação
500GR HAMSTERS,12,1.0,12,CLIENTE: Produto se encaixa na descrição do capítulo 12
ANEIS OVINOS C 100,12,30.0,12,CLIENTE: ANEIS OVINOS C 100 se encaixa em Sementes e frutos
OSCILLOC 200K C6,12,30.0,90,IA: Equipamento de medida
INOCULANTE RHIZOTROP T 600G (10DS) SOJA,12,38.0,38,IA: Inoculante é produto químico
UNHA FIRST DATE,12,33.0,33.0,IA: Produto cosmético.
58049 FLOR DO CAMPO 5G,12,12.0,12,IA | Flor do campo é classificada como planta medicinal
CANA-DE-ACUCAR DO PLANTIO A COLHEITA,12,12.0,12,IA: Cana-de-açúcar é um produto do capítulo 12.
PRODUTOS NAO LISTADOS - PLATAFORMA ADE SEMENTES MODELO SUPER,12,84.0,12,CLIENTE: Produto se encaixa na descrição do capítulo 12
ENTRADA DE CANA 160722,12,84.0,12,CLIENTE: Entrada de cana se encaixa em produtos agrícolas
CAIXA SEMENTE PASTAGEM,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
INOC. SOJA TURFOSO NITROBACTER TF 200 MELOTE:150102824,12,31.0,31,IA: Produto inoculante para soja
CL.FL. CAROLINA,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
AMORA BRANCA CHA,12,12.0,12,IA: Produto classificado como fruta
"SILOTRATO LIOFILIZADO INOCULANTE 100G BASSO,PANCOTTE",12,38.0,38,IA: Inoculante é produto químico
KIT 23701 NORI M,12,12.0,12,IA: KIT indica produto alimentício
ZIMBRO BAGAS TERRA RICA 25G,12,12.0,12,IA: Produto classificado como fruto.
"BOI SEM COBERTURA - 2,611.000",12,2.0,02,IA: Boi sem cobertura é carne bovina.
CALOTRAT PLANTAR 20G,12,30.0,30,IA: Produto de uso médico
UNHA POSTIA A 500PA S K.EMPRESS 20134 ST222278,12,33.0,33.0,IA: Produto similar a unha de metal
OSCILLOC 200K C6,12,30.0,90,IA: Equipamento de medida
HIBISCUS FLOR 5MM,12,12.0,12,IA: Flor de hibisco é classificada como planta medicinal
GARDEN CC 20 - 25 - 03844ECC-278D-4D9B-8599-B2A9B8ABE502,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
LINHA WR - 1KG - EM GRAOS - FAZENDA MORADA DA PRATA - ARNALDO PINTO,12,12.0,12,IA: Produto em grãos
CAPIM LIMAO,12,12.0,12,IA: CAPIM LIMAO é forragem
ALMOFADA SANSAO TURMA DA MONICA - 16X38X12CM,12,63.0,9503,IA | Produto de brinquedo
PONTO SEMENTE PARA AURICULOTERAPIA - CAIXA C/30 - ZHENMED ESPARADRAPO REDONDO  PRETO,12,30.0,90,"IA | Produto para terapia, não semente"
712 EXG - PROMOCAO,12,12.0,12,IA: Produto se encaixa na descrição do capítulo 12
UNHA GOLD SOLUCAO ANTIMICOTICA 30ML,12,30.0,30,IA: Solução antimicótica indica produto farmacêutico
ENTRADA DE CANA 190321,12,84.0,12,CLIENTE: Entrada de cana se encaixa em Sementes e frutos
C.SEMENTES C/FOLHA X33 (CREME) 75CM (FLORARTE) VOL. 1,12,67.0,12,IA | CLIENTE: Produto é semente.
CAIXA LONGITUDINAL DE SEMENTES ANO: 2022CHASSI: CLSV111022071220,12,84.0,84,IA: Caixa longitudinal indica máquina
ESS CAPIM LIMAO 100ML RL,12,33.0,33.0,IA: Produto aromático/essência
"DENTE DE LEAO FOLHAS 2,5 KG",12,12.0,12,IA: Produto vegetal para uso medicinal
IPE ROXO,12,44.0,12,CLIENTE: IPE ROXO se enquadra em Sementes
1002.1.1 PO FACIALT ANSLUCIDO,12,33.0,33,IA: Produto cosmético
ADESIVO-PARA-PLACA-B5710CE-BREVANT-SEMENTES,12,35.0,35.0,IA: Adesivo é classificado em produtos químicos
UVAIA  REDONDA COMUM,12,8.0,08,IA: Uvas são frutas
MASCAVO ACUCAR SAUDAVEL -PRODUTO A PRONTA ENTREGA ENVIO IMEDIATO C2 ALIMENTOS 500GR,12,17.0,17.0,IA: Produto processado à base de açúcar.
GUIA DA CANA LE,12,84.0,12,CLIENTE: Guia da cana é um produto agrícola
ENTRADA DE CANA 300521,12,12.0,12,IA: Entrada de cana se encaixa em produtos agrícolas
VACA TF - 117.250,12,1.0,12,IA: Produto se enquadra na descrição do capítulo 12
ENTRADA DE CANA DIA 15 06 2024,12,12.0,12,IA: Entrada de cana se encaixa em produtos agrícolas
FOLHAS BAMBU  X 5 PCT COM 80G VERDE,12,14.0,14,IA: Folhas de bambu são produtos vegetais
CALOTRAT PLANTAR 20G,12,30.0,30,IA: Produto de uso médico
"VINORELBINA (EUROFARMA)   L: 914851 Q:       10,0000 F: 07/05/24 V: 01/05/2026 * VALOR TOTAL DOS PRODUTOS SEM ISENCAO DO",12,30.0,30,IA: Vinorelbina é medicamento
KIT FLOR SECA,12,12.0,12,IA: KIT FLOR SECA é classificado no capítulo 12
PLACA PONTO COMPLEMENTAR TAMANHO:SEMENTE ESCURA C/ MICROPORE,12,39.0,39.0,IA: Placa de material plástico.
CJ CAIXA DIST SEMENTES 4 DENTES MILHO,12,84.0,84,IA: Caixa de semeadura é ferramenta agrícola
ENTRADA DE CANA DIA 09 11 2023,12,12.0,12,IA: Entrada de cana se encaixa em produtos agrícolas
CAIXA LONGITUDINAL DE SEMENTES ANO: 2023CHASSI: CLSV110823062304,12,84.0,84,IA: Caixa longitudinal indica máquina
FORMULA C/OREGANO EXTRATO 100MG;ZEDOARIA EXT.SEC 100MG;ESPINHEIRA SANTA 100MG;COENZIMA Q10 100MG;ZOOMZYME GLU10 250MG;EN,12,30.0,30,IA: Formula com extratos de plantas
EMILIANO MARTINEZ (ARGENTINA) - C2,12,49.0,12,CLIENTE: Descrição indica produto agrícola
PRODUTOS NAO LISTADOS - AMOSTRA DE SOJA - OUTROS,12,12.0,12,IA: Amostra de soja se enquadra em Sementes oleaginosas
GARRA DE BLOQUEIO NR10 **,12,82.0,82.0,IA: Garra de bloqueio é ferramenta.
ENTRADA DE CANA 110721,12,12.0,12,IA | ENTRADA DE CANA É UM PRODUTO DO CAPÍTULO 12
ENTRADA DE CANA DIA 19 06 2025,12,12.0,12,IA: Entrada de cana se encaixa em produtos agrícolas
ACTARA CANA SOCA LOTE 0128-22-04120,12,38.0,12,CLIENTE: Produto se encaixa na descrição do capítulo 12
